element,parent,trade_value,color,dummy_value
Dairy Machinery,Machinery and appliances,40287.0,0.0009915417577226894,0.3434959349593496
Fruit Pressing Machinery,Machinery and appliances,4889.0,0.0001203278390921694,0.3434959349593496
Other Agricultural Machinery,Machinery and appliances,402446.0,0.009904982109078996,0.3434959349593496
Mill Machinery,Machinery and appliances,3215148.0,0.07913107203958075,0.3434959349593496
Industrial Food Preperation Machinery,Machinery and appliances,2776131.0,0.06832600619079225,0.3434959349593496
Papermaking Machines,Machinery and appliances,109313.0,0.0026904064378568855,0.3434959349593496
Book-binding Machines,Machinery and appliances,28281.0,0.0006960506478555211,0.3434959349593496
Other Paper Machinery,Machinery and appliances,1344924.0,0.03310120651732396,0.3434959349593496
Print Production Machinery,Machinery and appliances,1286716.0,0.03166859394668027,0.3434959349593496
Industrial Printers,Machinery and appliances,4815601.0,0.1185213463407834,0.3434959349593496
Artificial Textile Machinery,Machinery and appliances,50000.0,0.0012305976589503927,0.3434959349593496
Textile Fiber Machinery,Machinery and appliances,104022.0,0.002560184593586755,0.3434959349593496
Knitting Machines,Machinery and appliances,18462.0,0.000454385879590843,0.3434959349593496
Knitting Machine Accessories,Machinery and appliances,102481.0,0.002522257573737904,0.3434959349593496
Felt Machinery,Machinery and appliances,18462.0,0.000454385879590843,0.3434959349593496
Household Washing Machines,Machinery and appliances,74841.0,0.001841983187870127,0.3434959349593496
Textile Processing Machines,Machinery and appliances,155971.0,0.0038387509492830343,0.3434959349593496
Sewing Machines,Machinery and appliances,221844.0,0.005460014141043818,0.3434959349593496
Leather Machinery,Machinery and appliances,52488.0,0.0012918321984597644,0.3434959349593496
Casting Machines,Machinery and appliances,22328.0,0.0005495356905808874,0.3434959349593496
Metal-Rolling Mills,Machinery and appliances,67759.0,0.0016676813354563932,0.3434959349593496
Non-Mechanical Removal Machinery,Machinery and appliances,199374.0,0.004906983553111512,0.3434959349593496
Metalworking Transfer Machines,Machinery and appliances,98876.0,0.0024335314825275805,0.3434959349593496
Metal Lathes,Machinery and appliances,91443.0,0.002250590834548015,0.3434959349593496
Drilling Machines,Machinery and appliances,74272.0,0.0018279789865112714,0.3434959349593496
Metal Finishing Machines,Machinery and appliances,371342.0,0.009139451917399136,0.3434959349593496
Metalworking Machines,Machinery and appliances,181241.0,0.004460695006116563,0.3434959349593496
Forging Machines,Machinery and appliances,391131.0,0.009626497858858522,0.3434959349593496
Other Non-Metal Removal Machinery,Machinery and appliances,825244.0,0.02031086668925716,0.3434959349593496
Stone Working Machines,Machinery and appliances,11274.0,0.00027747516014013456,0.3434959349593496
Woodworking machines,Machinery and appliances,353255.0,0.00869429552025042,0.3434959349593496
Metalworking Machine Parts,Machinery and appliances,857697.0,0.0211095984057755,0.3434959349593496
Motor-working Tools,Machinery and appliances,799500.0,0.01967725656661678,0.3434959349593496
Soldering and Welding Machinery,Machinery and appliances,535450.0,0.013178470329699756,0.3434959349593496
Calculators,Machinery and appliances,211509.0,0.005205649604938772,0.3434959349593496
Computers,Machinery and appliances,6199025.0,0.15257011305549917,0.3434959349593496
Other Office Machines,Machinery and appliances,102174.0,0.0025147017041119487,0.3434959349593496
Office Machine Parts,Machinery and appliances,40630664.0,1.0,0.3434959349593496
Stone Processing Machines,Machinery and appliances,2796761.0,0.06883375078487519,0.3434959349593496
Glass Working Machines,Machinery and appliances,19650.0,0.00048362487996750434,0.3434959349593496
Vending Machines,Machinery and appliances,32708.0,0.0008050077645789889,0.3434959349593496
Rubberworking Machinery,Machinery and appliances,4488747.0,0.11047683099641196,0.3434959349593496
Tobacco Processing Machines,Machinery and appliances,754121.0,0.018560390743306582,0.3434959349593496
Machinery Having Individual Functions,Machinery and appliances,7547294.0,0.1857536465562069,0.3434959349593496
Metal Molds,Machinery and appliances,7701731.0,0.18955464276931333,0.3434959349593496
Valves,Machinery and appliances,5175443.0,0.12737776079662394,0.3434959349593496
Ball Bearings,Machinery and appliances,468727.0,0.011536286977736815,0.3434959349593496
Transmissions,Machinery and appliances,1469708.0,0.03617238448281328,0.3434959349593496
Gaskets,Machinery and appliances,590937.0,0.014544113775743365,0.3434959349593496
Boat Propellers,Machinery and appliances,532995.0,0.013118047984645291,0.3434959349593496
Metals,Exportations,441284277.0,0.10757428895145213,56.333333333333336
Aluminium and articles thereof,Metals,70274979.0,0.4549578102654905,5.121212121212121
Raw Aluminium,Aluminium and articles thereof,2231867.0,0.08907032772849906,0.3414141414141414
Scrap Aluminium,Aluminium and articles thereof,25057357.0,1.0,0.3414141414141414
Aluminium Bars,Aluminium and articles thereof,9025860.0,0.360207982030986,0.3414141414141414
Aluminium Wire,Aluminium and articles thereof,983307.0,0.039242247296871736,0.3414141414141414
Aluminium Plating,Aluminium and articles thereof,6218952.0,0.24818866570803935,0.3414141414141414
Aluminium Foil,Aluminium and articles thereof,13754309.0,0.5489129998826293,0.3414141414141414
Aluminium Pipes,Aluminium and articles thereof,85337.0,0.00340566644758264,0.3414141414141414
Aluminium Pipe Fittings,Aluminium and articles thereof,40451.0,0.0016143362606040215,0.3414141414141414
Aluminium Structures,Aluminium and articles thereof,1285480.0,0.05130149999459241,0.3414141414141414
Large Aluminium Containers,Aluminium and articles thereof,4361.0,0.00017404070189844841,0.3414141414141414
Aluminium Cans,Aluminium and articles thereof,5171199.0,0.2063744791599529,0.3414141414141414
Aluminium Gas Containers,Aluminium and articles thereof,33581.0,0.0013401652855885798,0.3414141414141414
Stranded Aluminium Wire,Aluminium and articles thereof,2431784.0,0.0970487031014484,0.3414141414141414
Aluminium Housewares,Aluminium and articles thereof,197751.0,0.007891933694363695,0.3414141414141414
Other Aluminium Products,Aluminium and articles thereof,3753383.0,0.14979165599947353,0.3414141414141414
Copper and articles thereof,Metals,27526816.0,0.17820766521952383,5.121212121212121
Raw Copper,Copper and articles thereof,256907.0,0.013403636246389164,0.3658008658008658
Refined Copper,Copper and articles thereof,986507.0,0.05146913467720473,0.3658008658008658
Scrap Copper,Copper and articles thereof,19166963.0,1.0,0.3658008658008658
Copper Powder,Copper and articles thereof,4529.0,0.00023629199889413884,0.3658008658008658
Copper Bars,Copper and articles thereof,350524.0,0.01828792594841447,0.3658008658008658
Copper Wire,Copper and articles thereof,1575251.0,0.08218573803267633,0.3658008658008658
Copper Plating,Copper and articles thereof,200880.0,0.010480533614010733,0.3658008658008658
Copper Foil,Copper and articles thereof,28618.0,0.0014930899590091555,0.3658008658008658
Copper Pipes,Copper and articles thereof,91597.0,0.004778900027093494,0.3658008658008658
Copper Pipe Fittings,Copper and articles thereof,1678253.0,0.08755967233828332,0.3658008658008658
Stranded Copper Wire,Copper and articles thereof,450792.0,0.02351921898111871,0.3658008658008658
Copper Fasteners,Copper and articles thereof,43945.0,0.0022927471608308525,0.3658008658008658
Copper Housewares,Copper and articles thereof,27097.0,0.0014137346641718879,0.3658008658008658
Other Copper Products,Copper and articles thereof,2664953.0,0.13903887642502363,0.3658008658008658
Iron and steel,Metals,154464826.0,1.0,5.121212121212121
Ferroalloys,Iron and steel,2241689.0,0.03803391922178253,0.1829004329004329
Iron Reductions,Iron and steel,1432.0,2.4296221431961606e-05,0.1829004329004329
Scrap Iron,Iron and steel,24359022.0,0.4132906371354918,0.1829004329004329
Iron Powder,Iron and steel,211970.0,0.003596417637522976,0.1829004329004329
Iron Ingots,Iron and steel,3897277.0,0.06612367665760546,0.1829004329004329
Semi-Finished Iron,Iron and steel,55878.00000000001,0.0009480616348988483,0.1829004329004329
Hot-Rolled Iron,Iron and steel,224933.0,0.003816356128041494,0.1829004329004329
Cold-Rolled Iron,Iron and steel,498980.0,0.00846601157131299,0.1829004329004329
Coated Flat-Rolled Iron,Iron and steel,37903800.0,0.6430999426765267,0.1829004329004329
Large Flat-Rolled Iron,Iron and steel,195500.0,0.003316977157785261,0.1829004329004329
Large Coated Flat-Rolled Iron,Iron and steel,1806651.0,0.030652788230638873,0.1829004329004329
Hot-Rolled Iron Bars,Iron and steel,9.000000000000002,1.5269971570366932e-07,0.1829004329004329
Raw Iron Bars,Iron and steel,58939206.0,1.0,0.1829004329004329
Other Iron Bars,Iron and steel,688187.0,0.01167621769455123,0.1829004329004329
Iron Blocks,Iron and steel,9178837.0,0.15573397782114676,0.1829004329004329
Iron Wire,Iron and steel,5092674.000000001,0.08640554133016316,0.1829004329004329
Stainless Steel Ingots,Iron and steel,9841.0,0.0001669686558044233,0.1829004329004329
Large Flat-Rolled Stainless Steel,Iron and steel,503921.0,0.008549843715234304,0.1829004329004329
